时间戳,T1,T2,T3,T4,T5,T6,T7,T8,T9
2026-08-02 20:49:33,90.00,90.55,89.91,90.08,90.55,55.43,79.17,81.32,79.80
2026-08-02 20:49:34,89.96,90.51,89.87,90.04,90.52,55.37,79.17,81.30,79.79
2026-08-02 20:49:35,89.92,90.48,89.86,90.00,90.48,55.34,79.15,81.27,79.77
2026-08-02 20:49:36,89.88,90.44,89.81,89.97,90.45,55.28,79.11,81.25,79.75
2026-08-02 20:49:37,89.84,90.42,89.77,89.94,90.40,55.24,79.10,81.22,79.72
2026-08-02 20:49:38,89.81,90.38,89.75,89.92,90.38,55.18,79.05,81.20,79.69
2026-08-02 20:49:39,89.78,90.35,89.71,89.89,90.35,55.16,79.02,81.16,79.67
2026-08-02 20:49:40,89.74,90.32,89.68,89.85,90.32,55.12,78.99,81.13,79.65
2026-08-02 20:49:41,89.71,90.29,89.66,89.82,90.28,55.08,78.98,81.09,79.63
2026-08-02 20:49:42,89.67,90.26,89.62,89.78,90.25,55.09,78.93,81.07,79.59
2026-08-02 20:49:43,89.64,90.23,89.59,89.76,90.22,55.04,78.91,81.03,79.57
2026-08-02 20:49:44,89.61,90.19,89.55,89.71,90.19,55.00,78.87,81.02,79.53
2026-08-02 20:49:45,89.58,90.16,89.52,89.66,90.16,54.96,78.86,81.00,79.50
2026-08-02 20:49:46,89.55,90.14,89.50,89.64,90.11,54.93,78.84,80.97,79.49
2026-08-02 20:49:47,89.52,90.11,89.46,89.61,90.11,54.91,78.83,80.95,79.48
2026-08-02 20:49:48,89.49,90.08,89.44,89.60,90.06,54.88,78.84,80.91,79.44
2026-08-02 20:49:49,89.44,90.02,89.38,89.53,90.01,54.80,78.84,80.87,79.37
2026-08-02 20:49:51,89.39,89.98,89.35,89.48,89.98,54.73,78.84,80.84,79.35
2026-08-02 20:49:52,89.35,89.94,89.29,89.44,89.94,54.74,78.84,80.80,79.28
2026-08-02 20:49:53,89.31,89.89,89.25,89.41,89.89,54.69,78.85,80.76,79.23
2026-08-02 20:49:54,89.26,89.85,89.22,89.36,89.84,54.66,78.83,80.72,79.18
2026-08-02 20:49:56,89.21,89.81,89.19,89.32,89.80,54.60,78.84,80.66,79.13
2026-08-02 20:49:57,89.17,89.77,89.13,89.27,89.76,54.58,78.83,80.63,79.09
2026-08-02 20:49:58,89.12,89.73,89.10,89.23,89.71,54.54,78.82,80.58,79.04
2026-08-02 20:49:59,89.08,89.68,89.05,89.20,89.68,54.50,78.80,80.52,78.97
